Model,Broad.phase.of.flight,Weather.Condition,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Year
PA-28R-180,Landing,IMC,0.0,1.0,2.0,0.0,1982
150M,Approach,VMC,0.0,0.0,1.0,1.0,1982
8GCBC,Landing,VMC,0.0,0.0,1.0,0.0,1982
PA-31-310,Landing,VMC,0.0,0.0,0.0,2.0,1982
172,Approach,VMC,0.0,0.0,0.0,1.0,1982
PA-31T2,Approach,IMC,8.0,0.0,0.0,0.0,1982
90,Cruise,IMC,0.0,0.0,0.0,4.0,1982
YS-11A,Approach,VMC,0.0,0.0,3.0,36.0,1982
152,Taxi,VMC,0.0,0.0,0.0,1.0,1982
172M,Landing,VMC,0.0,0.0,0.0,2.0,1982
PA-28RT-201T,Descent,IMC,0.0,1.0,0.0,0.0,1982
7ECA,Approach,VMC,0.0,0.0,0.0,1.0,1982
177RG,Landing,VMC,0.0,0.0,0.0,1.0,1982
210,Landing,VMC,0.0,0.0,0.0,3.0,1982
210,Approach,IMC,0.0,0.0,2.0,0.0,1982
727-235,Takeoff,VMC,0.0,1.0,1.0,51.0,1982
PA-23,Approach,IMC,0.0,0.0,0.0,6.0,1982
EMB-11OP1,Takeoff,VMC,0.0,0.0,0.0,16.0,1982
A36,Cruise,VMC,1.0,0.0,0.0,0.0,1982
PA-28-140,Cruise,IMC,1.0,0.0,0.0,0.0,1982
T210N,Approach,VMC,0.0,0.0,0.0,1.0,1982
2T1A-2,Taxi,VMC,0.0,0.0,0.0,1.0,1982
B-727-200,Landing,IMC,0.0,0.0,0.0,83.0,1982
PA-44-180T,Descent,IMC,0.0,0.0,0.0,3.0,1982
FIREFLY,Landing,VMC,0.0,0.0,0.0,3.0,1982
,Landing,VMC,0.0,0.0,0.0,1.0,1982
172H,Landing,VMC,0.0,0.0,0.0,1.0,1982
180,Landing,VMC,0.0,0.0,0.0,1.0,1982
172A,Takeoff,UNK,0.0,0.0,0.0,2.0,1982
58,Approach,IMC,0.0,0.0,0.0,1.0,1982
P206B,Landing,UNK,0.0,0.0,0.0,1.0,1982
47G2,Cruise,VMC,0.0,0.0,0.0,1.0,1982
404,Landing,IMC,0.0,0.0,0.0,7.0,1982
51,Maneuvering,VMC,0.0,0.0,1.0,0.0,1982
172L,Approach,VMC,1.0,1.0,0.0,0.0,1982
182Q,Maneuvering,VMC,2.0,0.0,0.0,0.0,1982
PA-36-375,Maneuvering,VMC,1.0,0.0,0.0,0.0,1982
PA-28-161,Landing,VMC,0.0,0.0,0.0,1.0,1982
152,Landing,VMC,0.0,0.0,0.0,1.0,1982
172N,Takeoff,VMC,0.0,0.0,0.0,3.0,1982
150M,Takeoff,VMC,0.0,0.0,0.0,2.0,1982
140,Maneuvering,VMC,0.0,0.0,0.0,1.0,1982
56TC,Takeoff,VMC,0.0,0.0,0.0,1.0,1982
150,Approach,VMC,0.0,0.0,0.0,2.0,1982
G-21A,Cruise,VMC,0.0,0.0,0.0,2.0,1982
PA-22-150,Takeoff,VMC,0.0,2.0,0.0,0.0,1982
PA-28-181,Landing,VMC,0.0,4.0,0.0,0.0,1982
PA-28-180,Cruise,UNK,1.0,0.0,0.0,0.0,1982
DHC-6,Cruise,VMC,1.0,10.0,1.0,0.0,1982
AA-5A,Takeoff,VMC,0.0,0.0,0.0,4.0,1982
PA-32R-301T,Cruise,VMC,0.0,0.0,0.0,1.0,1982
152,Takeoff,VMC,0.0,0.0,0.0,1.0,1982
172N,Cruise,VMC,0.0,0.0,1.0,3.0,1982
M-20C,Landing,IMC,0.0,0.0,0.0,1.0,1982
7GCBC,Maneuvering,VMC,2.0,0.0,0.0,0.0,1982
PA-28-140,Go-around,VMC,0.0,0.0,0.0,1.0,1982
152,Takeoff,VMC,0.0,0.0,0.0,1.0,1982
227C,Landing,VMC,0.0,0.0,0.0,4.0,1982
8KCAB,Takeoff,VMC,0.0,1.0,1.0,0.0,1982
HH-43F,Maneuvering,VMC,0.0,0.0,1.0,0.0,1982
14-19-3A,Cruise,IMC,2.0,0.0,0.0,0.0,1982
421C,Cruise,VMC,0.0,0.0,0.0,6.0,1982
G-164A,Takeoff,VMC,0.0,0.0,0.0,1.0,1982
A185F,Taxi,VMC,0.0,0.0,0.0,2.0,1982
180,Takeoff,VMC,0.0,0.0,0.0,1.0,1982
PA-38-112,Landing,VMC,0.0,0.0,0.0,2.0,1982
210A,Other,UNK,0.0,0.0,0.0,1.0,1982
PA-60,Takeoff,VMC,0.0,0.0,0.0,1.0,1982
A188B,Takeoff,VMC,0.0,1.0,0.0,0.0,1982
206B,Cruise,VMC,1.0,0.0,0.0,0.0,1982
PA-60/601P,Landing,IMC,0.0,0.0,0.0,3.0,1982
172,Landing,VMC,0.0,0.0,0.0,1.0,1982
152II,Takeoff,VMC,0.0,0.0,0.0,1.0,1982
210,Cruise,VMC,0.0,2.0,0.0,0.0,1982
COMMANDER 114,Cruise,VMC,0.0,2.0,0.0,0.0,1982
BE-95-C55,Takeoff,VMC,1.0,0.0,0.0,0.0,1982
150,Landing,IMC,0.0,0.0,0.0,2.0,1982
172,Landing,VMC,0.0,0.0,0.0,3.0,1982
SA-227,Landing,VMC,0.0,0.0,0.0,12.0,1982
201C,Takeoff,VMC,0.0,0.0,0.0,1.0,1982
310Q,Landing,VMC,0.0,0.0,0.0,2.0,1982
414,Landing,VMC,0.0,0.0,0.0,1.0,1982
DW-1,Cruise,VMC,0.0,0.0,0.0,1.0,1982
