Model,Broad.phase.of.flight,Weather.Condition,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Year
PA-30,Maneuvering,VMC,2.0,0.0,0.0,0.0,2002
47G-2,Maneuvering,VMC,1.0,0.0,0.0,0.0,2002
S-2C,Maneuvering,VMC,2.0,0.0,0.0,0.0,2002
172RG,Landing,VMC,0.0,0.0,0.0,2.0,2002
R172K,Landing,VMC,0.0,0.0,2.0,0.0,2002
Kolb MK III,Takeoff,VMC,0.0,0.0,1.0,0.0,2002
R22 Beta,Maneuvering,VMC,0.0,0.0,0.0,2.0,2002
172R,Go-around,VMC,0.0,0.0,0.0,2.0,2002
A188,Maneuvering,VMC,0.0,0.0,1.0,0.0,2002
310L,Maneuvering,IMC,1.0,0.0,0.0,0.0,2002
PA-28-161,Landing,VMC,0.0,0.0,0.0,2.0,2002
PA-18,Landing,VMC,0.0,0.0,1.0,0.0,2002
182G,Landing,VMC,0.0,0.0,0.0,1.0,2002
182,Cruise,VMC,0.0,0.0,1.0,2.0,2002
421B,Landing,VMC,0.0,0.0,0.0,6.0,2002
Nieuport,Cruise,VMC,0.0,0.0,0.0,1.0,2002
KA8B,Landing,VMC,0.0,0.0,0.0,1.0,2002
182,Cruise,VMC,0.0,0.0,0.0,5.0,2002
172S,Cruise,VMC,2.0,0.0,0.0,0.0,2002
PA-28R-200,Takeoff,VMC,0.0,0.0,1.0,0.0,2002
Kitfox IV,Landing,VMC,0.0,0.0,0.0,1.0,2002
AS350-B3,Standing,VMC,0.0,0.0,0.0,4.0,2002
SA227-AC,Takeoff,VMC,0.0,1.0,0.0,20.0,2002
65-C,Approach,VMC,0.0,1.0,0.0,0.0,2002
R44,Landing,VMC,0.0,0.0,1.0,1.0,2002
PA-28-140,Approach,VMC,0.0,1.0,1.0,0.0,2002
PA-18,Cruise,VMC,0.0,0.0,0.0,1.0,2002
208B,Standing,VMC,0.0,1.0,0.0,1.0,2002
AT-6D,Maneuvering,VMC,1.0,0.0,0.0,0.0,2002
M20J,Cruise,VMC,0.0,0.0,0.0,2.0,2002
DCO-65,Standing,IMC,0.0,0.0,1.0,0.0,2002
M20E,Takeoff,VMC,1.0,0.0,0.0,0.0,2002
PA-28-181,Go-around,VMC,0.0,0.0,0.0,2.0,2002
UPF-7,Go-around,VMC,0.0,0.0,0.0,2.0,2002
M20J,Landing,VMC,0.0,0.0,0.0,2.0,2002
M-7-235C,Landing,VMC,0.0,0.0,1.0,0.0,2002
T210M,Maneuvering,IMC,1.0,0.0,0.0,0.0,2002
AT-400,Maneuvering,VMC,0.0,0.0,1.0,0.0,2002
PA-28-161,Landing,VMC,0.0,0.0,0.0,1.0,2002
Kitfox,Takeoff,VMC,0.0,0.0,0.0,2.0,2002
B.206 Basset,Takeoff,VMC,1.0,0.0,0.0,0.0,2002
PA-18A,Climb,IMC,1.0,0.0,0.0,0.0,2002
600N,Takeoff,VMC,0.0,2.0,0.0,0.0,2002
SR-22,Cruise,VMC,0.0,0.0,0.0,1.0,2002
Aerostar 602P,Approach,IMC,1.0,0.0,0.0,0.0,2002
TB-20,Maneuvering,VMC,1.0,1.0,0.0,0.0,2002
Blanik L-13,Landing,VMC,0.0,2.0,0.0,0.0,2002
R-22,Takeoff,VMC,0.0,0.0,1.0,0.0,2002
717-200,Unknown,VMC,0.0,0.0,0.0,0.0,2002
Travel Air 4000,Landing,VMC,0.0,0.0,0.0,3.0,2002
Challenger II,Takeoff,VMC,0.0,0.0,0.0,1.0,2002
172L,Approach,VMC,0.0,0.0,0.0,1.0,2002
182E,Landing,VMC,0.0,0.0,0.0,2.0,2002
Velocity SR6E,Approach,VMC,1.0,0.0,0.0,0.0,2002
M20K,Landing,VMC,0.0,0.0,0.0,3.0,2002
L1019,Takeoff,VMC,0.0,1.0,1.0,0.0,2002
172P,Taxi,VMC,0.0,0.0,0.0,2.0,2002
RV6A,Maneuvering,VMC,2.0,0.0,0.0,0.0,2002
525A,Landing,VMC,0.0,2.0,2.0,0.0,2002
KSE5A,Takeoff,VMC,0.0,0.0,0.0,1.0,2002
15A,Takeoff,VMC,0.0,0.0,0.0,2.0,2002
Rotorway Exec-162F,Cruise,VMC,0.0,0.0,0.0,1.0,2002
140,Maneuvering,VMC,0.0,1.0,0.0,0.0,2002
PA-30,Takeoff,VMC,0.0,0.0,0.0,2.0,2002
C24R,Takeoff,VMC,0.0,0.0,0.0,1.0,2002
PA-28-140,Maneuvering,VMC,3.0,0.0,0.0,0.0,2002
PA-28R-200,Landing,VMC,0.0,0.0,3.0,0.0,2002
S-12 XL,Takeoff,VMC,0.0,0.0,0.0,2.0,2002
A200,Takeoff,VMC,0.0,0.0,1.0,3.0,2002
PA-20,Landing,VMC,0.0,0.0,0.0,2.0,2002
EAA-Biplane-P,Approach,VMC,0.0,0.0,0.0,1.0,2002
17-30,Unknown,VMC,2.0,0.0,0.0,0.0,2002
K35,Cruise,VMC,1.0,0.0,0.0,0.0,2002
747-400,Cruise,VMC,0.0,0.0,0.0,404.0,2002
172M,Unknown,VMC,1.0,0.0,0.0,0.0,2002
152,Approach,VMC,0.0,0.0,1.0,0.0,2002
PA-22,Landing,VMC,0.0,0.0,0.0,2.0,2002
172L,Takeoff,VMC,0.0,0.0,0.0,1.0,2002
Early Bird Jenny,Maneuvering,VMC,0.0,0.0,1.0,0.0,2002
182S,Cruise,VMC,1.0,0.0,0.0,0.0,2002
227-AC,Unknown,VMC,0.0,0.0,0.0,0.0,2002
M20K,Landing,VMC,0.0,0.0,0.0,4.0,2002
Vari-Eze,Cruise,VMC,0.0,1.0,0.0,0.0,2002
58,Landing,VMC,0.0,0.0,0.0,1.0,2002
310L,Landing,VMC,0.0,0.0,0.0,5.0,2002
177RG,Cruise,VMC,0.0,2.0,0.0,0.0,2002
B-2B,Cruise,VMC,0.0,0.0,0.0,2.0,2002
AA-5A,Climb,VMC,1.0,0.0,1.0,0.0,2002
7GCBC,Landing,VMC,0.0,0.0,1.0,0.0,2002
PA-28-151,Taxi,VMC,0.0,0.0,0.0,1.0,2002
170B,Takeoff,VMC,0.0,0.0,0.0,1.0,2002
172N,Takeoff,VMC,0.0,0.0,0.0,1.0,2002
PA-28-181,Cruise,VMC,0.0,0.0,3.0,0.0,2002
DHC-8-102,Descent,VMC,0.0,0.0,0.0,33.0,2002
K35,Landing,VMC,0.0,0.0,0.0,1.0,2002
M20J,Landing,VMC,0.0,0.0,0.0,2.0,2002
M20B,Climb,VMC,0.0,0.0,0.0,2.0,2002
119A,Unknown,VMC,1.0,0.0,0.0,1.0,2002
150F,Cruise,VMC,1.0,0.0,0.0,0.0,2002
175B,Go-around,VMC,0.0,0.0,1.0,0.0,2002
Kitfox,Takeoff,VMC,0.0,1.0,0.0,0.0,2002
LANCAIR IV,Landing,VMC,2.0,1.0,0.0,0.0,2002
SR-20,Landing,VMC,0.0,0.0,2.0,0.0,2002
269C-1,Cruise,VMC,0.0,0.0,0.0,2.0,2002
172N,Approach,IMC,2.0,0.0,0.0,0.0,2002
182F,Unknown,VMC,2.0,2.0,0.0,0.0,2002
PC-12/45,Takeoff,IMC,0.0,0.0,1.0,3.0,2002
269C,Landing,VMC,0.0,0.0,0.0,2.0,2002
206L-1,Approach,VMC,0.0,1.0,0.0,4.0,2002
172,Taxi,VMC,0.0,0.0,0.0,1.0,2002
172,Takeoff,VMC,0.0,0.0,0.0,2.0,2002
M-7-235,Maneuvering,IMC,0.0,1.0,0.0,0.0,2002
182B,Descent,VMC,0.0,0.0,1.0,0.0,2002
PA-28-180,Cruise,VMC,0.0,0.0,0.0,1.0,2002
PA-28-236,Climb,VMC,0.0,0.0,0.0,2.0,2002
430,Unknown,IMC,2.0,0.0,0.0,0.0,2002
Rans S-10 Sakota,Landing,VMC,1.0,0.0,0.0,0.0,2002
PA-28-235,Takeoff,VMC,0.0,0.0,0.0,2.0,2002
RW-152 Scorpion II,Climb,VMC,0.0,0.0,0.0,1.0,2002
Rutan/Defiant,Takeoff,VMC,0.0,0.0,0.0,1.0,2002
DA20-C1,Approach,VMC,0.0,0.0,1.0,1.0,2002
47G3B1,Cruise,VMC,0.0,0.0,0.0,1.0,2002
162F,Maneuvering,VMC,0.0,0.0,0.0,1.0,2002
767-222,Takeoff,VMC,0.0,0.0,0.0,128.0,2002
152,Maneuvering,VMC,0.0,0.0,0.0,1.0,2002
PA-32-300,Landing,VMC,0.0,0.0,0.0,2.0,2002
180,Landing,VMC,0.0,0.0,0.0,1.0,2002
Aerostar 601,Takeoff,VMC,3.0,0.0,0.0,0.0,2002
PA-32-301,Maneuvering,IMC,6.0,0.0,0.0,0.0,2002
757-200,Takeoff,VMC,0.0,0.0,0.0,196.0,2002
PA-28-161,Maneuvering,VMC,0.0,0.0,0.0,2.0,2002
210C,Approach,IMC,0.0,1.0,2.0,0.0,2002
150M,Maneuvering,VMC,0.0,1.0,0.0,0.0,2002
767-300,Unknown,VMC,0.0,0.0,0.0,162.0,2002
7KCAB,Landing,VMC,0.0,0.0,1.0,0.0,2002
A-60,Other,VMC,0.0,0.0,0.0,1.0,2002
310,Takeoff,VMC,1.0,0.0,0.0,0.0,2002
185,Landing,VMC,0.0,0.0,0.0,1.0,2002
PA-30,Takeoff,VMC,0.0,2.0,0.0,0.0,2002
A23,Takeoff,VMC,0.0,0.0,0.0,1.0,2002
PA-32,Taxi,VMC,0.0,0.0,0.0,6.0,2002
RV-8,Approach,VMC,0.0,0.0,0.0,1.0,2002
PA-32,Taxi,VMC,0.0,0.0,0.0,6.0,2002
PA-28-140,Go-around,VMC,0.0,0.0,0.0,3.0,2002
Skyhawk,Landing,VMC,0.0,1.0,1.0,0.0,2002
A60,Cruise,VMC,2.0,0.0,0.0,0.0,2002
208B,Cruise,IMC,1.0,0.0,0.0,0.0,2002
172N,Takeoff,VMC,0.0,0.0,0.0,1.0,2002
PA-28-161,Cruise,VMC,0.0,1.0,0.0,0.0,2002
CL-600-2B19,Taxi,VMC,0.0,0.0,5.0,48.0,2002
PA-34-220T,Landing,VMC,0.0,0.0,0.0,2.0,2002
172N,Takeoff,VMC,0.0,1.0,0.0,0.0,2002
AT-602,Maneuvering,VMC,0.0,0.0,0.0,1.0,2002
180,Taxi,VMC,0.0,0.0,0.0,1.0,2002
King Air 100,Approach,IMC,8.0,0.0,0.0,0.0,2002
R182,Approach,IMC,3.0,0.0,0.0,0.0,2002
172N,Cruise,VMC,2.0,0.0,0.0,2.0,2002
152,Cruise,VMC,0.0,1.0,0.0,0.0,2002
Vans RV-4,Takeoff,VMC,0.0,0.0,0.0,2.0,2002
Kitfox III,Approach,VMC,0.0,0.0,0.0,1.0,2002
172M,Cruise,VMC,2.0,0.0,0.0,2.0,2002
207,Cruise,VMC,0.0,1.0,0.0,0.0,2002
PA-34-200T,Unknown,IMC,4.0,0.0,0.0,0.0,2002
StddHmltn GlasairIIS,Takeoff,VMC,0.0,0.0,2.0,0.0,2002
T188C,Maneuvering,VMC,0.0,0.0,0.0,1.0,2002
PA-22,Approach,VMC,0.0,0.0,0.0,2.0,2002
172,Takeoff,VMC,0.0,0.0,0.0,1.0,2002
180,Approach,VMC,0.0,0.0,0.0,2.0,2002
CW-46,Taxi,VMC,0.0,0.0,0.0,3.0,2002
369D,Takeoff,VMC,0.0,2.0,1.0,0.0,2002
A188B,Approach,VMC,0.0,0.0,0.0,2.0,2002
PA-22,Takeoff,VMC,0.0,0.0,0.0,3.0,2002
PA-31T,Takeoff,IMC,1.0,0.0,0.0,0.0,2002
182S,Cruise,IMC,1.0,0.0,0.0,0.0,2002
369A,Maneuvering,VMC,0.0,3.0,0.0,0.0,2002
DC 9-32,Unknown,IMC,0.0,0.0,10.0,80.0,2002
172N,Takeoff,VMC,0.0,0.0,1.0,1.0,2002
172G,Cruise,IMC,0.0,0.0,1.0,0.0,2002
177RG,Cruise,VMC,0.0,0.0,1.0,0.0,2002
7AC,Standing,VMC,0.0,0.0,1.0,0.0,2002
F33A,Climb,VMC,1.0,0.0,0.0,1.0,2002
PA-28R-200,Cruise,VMC,0.0,0.0,1.0,0.0,2002
PA-24-180,Landing,VMC,0.0,0.0,0.0,2.0,2002
690B,Cruise,VMC,0.0,0.0,0.0,3.0,2002
Kolb Fire Star II,Takeoff,VMC,0.0,0.0,0.0,1.0,2002
269A,Cruise,VMC,1.0,0.0,0.0,0.0,2002
500-B,Maneuvering,VMC,3.0,0.0,0.0,0.0,2002
17-30A,Landing,VMC,0.0,0.0,0.0,1.0,2002
T182T,Takeoff,VMC,0.0,0.0,0.0,2.0,2002
47G-2,Takeoff,VMC,0.0,0.0,1.0,2.0,2002
Barnett J4B,Approach,VMC,0.0,0.0,1.0,0.0,2002
A75N1,Landing,VMC,0.0,0.0,0.0,2.0,2002
M20E,Landing,VMC,0.0,0.0,0.0,3.0,2002
DC-3,Landing,VMC,0.0,0.0,0.0,3.0,2002
8A,Landing,VMC,0.0,0.0,0.0,1.0,2002
PA-46-350P,Unknown,IMC,2.0,0.0,0.0,0.0,2002
PA-31-350,Unknown,VMC,1.0,2.0,0.0,0.0,2002
SR20,Maneuvering,IMC,1.0,0.0,0.0,0.0,2002
F-86,Unknown,VMC,1.0,0.0,0.0,0.0,2002
PA-24,Approach,VMC,2.0,0.0,0.0,0.0,2002
172M,Takeoff,VMC,0.0,0.0,0.0,1.0,2002
IV-P,Approach,VMC,1.0,0.0,0.0,0.0,2002
PA-31-350,Cruise,VMC,0.0,0.0,0.0,1.0,2002
PA-28RT,Cruise,VMC,0.0,0.0,0.0,1.0,2002
MD-82,Descent,VMC,0.0,1.0,0.0,75.0,2002
310N,Unknown,VMC,0.0,0.0,0.0,6.0,2002
35,Approach,VMC,0.0,2.0,0.0,0.0,2002
150M,Go-around,VMC,0.0,0.0,1.0,0.0,2002
PA-28-181,Landing,VMC,0.0,0.0,0.0,1.0,2002
J35,Takeoff,VMC,0.0,1.0,0.0,0.0,2002
206L1,Approach,VMC,0.0,0.0,0.0,1.0,2002
A109E,Takeoff,VMC,0.0,0.0,0.0,3.0,2002
152,Approach,VMC,1.0,0.0,0.0,0.0,2002
150E,Cruise,VMC,1.0,0.0,0.0,0.0,2002
Gazelle AH-MK1,Cruise,VMC,1.0,0.0,0.0,0.0,2002
1124A,Approach,VMC,2.0,0.0,0.0,0.0,2002
208B,Cruise,VMC,4.0,0.0,0.0,0.0,2002
PA-18,Landing,VMC,0.0,0.0,0.0,1.0,2002
D35,Takeoff,VMC,0.0,1.0,0.0,0.0,2002
182N,Takeoff,VMC,0.0,0.0,4.0,0.0,2002
172,Takeoff,VMC,0.0,0.0,2.0,1.0,2002
MD-82,Standing,VMC,0.0,1.0,6.0,72.0,2002
PC-12/45,Landing,VMC,0.0,0.0,0.0,6.0,2002
182Q,Landing,VMC,0.0,0.0,0.0,1.0,2002
7ECA,Landing,VMC,0.0,0.0,0.0,2.0,2002
AS350B,Maneuvering,VMC,0.0,0.0,2.0,1.0,2002
A36,Takeoff,IMC,0.0,0.0,2.0,1.0,2002
C35,Takeoff,VMC,0.0,0.0,0.0,1.0,2002
175,Unknown,VMC,2.0,0.0,0.0,0.0,2002
F4U-4,Cruise,VMC,1.0,0.0,0.0,0.0,2002
A75,Maneuvering,VMC,0.0,0.0,2.0,0.0,2002
182T,Landing,VMC,0.0,0.0,0.0,2.0,2002
M20J,Takeoff,VMC,0.0,0.0,0.0,2.0,2002
B75N1,Landing,VMC,0.0,0.0,0.0,1.0,2002
7ECA,Taxi,VMC,0.0,0.0,0.0,1.0,2002
PA-28-236,Unknown,IMC,2.0,0.0,0.0,0.0,2002
182P,Landing,VMC,0.0,0.0,0.0,2.0,2002
150F,Landing,VMC,0.0,0.0,0.0,1.0,2002
M20R,Go-around,IMC,2.0,0.0,0.0,0.0,2002
A36TC,Takeoff,VMC,2.0,1.0,0.0,0.0,2002
182Q,Landing,VMC,0.0,0.0,2.0,0.0,2002
T210L,Go-around,VMC,0.0,0.0,4.0,0.0,2002
R22 Beta,Maneuvering,VMC,0.0,0.0,1.0,1.0,2002
Kitfox III,Taxi,VMC,0.0,1.0,0.0,0.0,2002
PA-28-201T,Go-around,VMC,0.0,0.0,0.0,2.0,2002
210L,Approach,VMC,1.0,0.0,0.0,0.0,2002
PA-32R-300,Approach,VMC,2.0,0.0,0.0,0.0,2002
M10,Approach,VMC,2.0,0.0,0.0,0.0,2002
PA-28-140,Approach,VMC,1.0,0.0,0.0,0.0,2002
172M,Landing,VMC,0.0,0.0,0.0,3.0,2002
206B,Cruise,VMC,1.0,0.0,0.0,0.0,2002
182M,Unknown,VMC,2.0,0.0,0.0,0.0,2002
PA-32RT-300T,Takeoff,VMC,0.0,2.0,1.0,0.0,2002
14-19,Cruise,IMC,0.0,0.0,0.0,1.0,2002
T-6G,Landing,VMC,0.0,0.0,0.0,2.0,2002
BC12-D,Maneuvering,VMC,0.0,0.0,1.0,1.0,2002
CL-600-2B19,Descent,VMC,0.0,0.0,0.0,51.0,2002
182D,Cruise,IMC,2.0,0.0,0.0,0.0,2002
PA-23-250,Unknown,VMC,7.0,0.0,0.0,0.0,2002
152,Descent,VMC,1.0,0.0,0.0,1.0,2002
TB-20,Cruise,VMC,1.0,1.0,0.0,0.0,2002
RV-6A,Landing,VMC,0.0,0.0,1.0,0.0,2002
182Q,Approach,IMC,1.0,0.0,0.0,0.0,2002
Express,Cruise,VMC,3.0,0.0,0.0,0.0,2002
AT-502,Takeoff,VMC,0.0,1.0,1.0,0.0,2002
PA-28R-201,Landing,VMC,0.0,0.0,0.0,2.0,2002
R22,Cruise,VMC,0.0,0.0,0.0,2.0,2002
T210 L,Cruise,VMC,0.0,0.0,2.0,0.0,2002
210L,Climb,IMC,1.0,1.0,0.0,0.0,2002
214B1,Unknown,VMC,0.0,0.0,1.0,1.0,2002
EXEC 162F,Cruise,VMC,0.0,0.0,0.0,1.0,2002
Lancair IV-P,Landing,VMC,0.0,0.0,0.0,2.0,2002
A319-131,Takeoff,VMC,0.0,0.0,0.0,82.0,2002
212,Landing,VMC,0.0,0.0,0.0,1.0,2002
M18A,Maneuvering,VMC,0.0,0.0,0.0,1.0,2002
F-28C,Landing,VMC,0.0,0.0,1.0,1.0,2002
AA-1C,Takeoff,VMC,0.0,0.0,0.0,1.0,2002
Dragonfly,Cruise,VMC,0.0,1.0,0.0,0.0,2002
172G,Approach,VMC,0.0,0.0,0.0,2.0,2002
172K,Cruise,VMC,0.0,0.0,0.0,2.0,2002
PA-23-250,Descent,VMC,0.0,0.0,0.0,3.0,2002
Velocity,Cruise,VMC,0.0,0.0,0.0,1.0,2002
PA-22-108,Landing,VMC,0.0,0.0,0.0,1.0,2002
Murphy Rebel,Landing,VMC,0.0,0.0,0.0,2.0,2002
PA-28-161,Approach,VMC,0.0,0.0,2.0,2.0,2002
T210M,Landing,VMC,0.0,0.0,0.0,1.0,2002
7AC,Approach,VMC,0.0,0.0,0.0,2.0,2002
B36TC,Approach,IMC,1.0,0.0,0.0,0.0,2002
A36,Cruise,VMC,2.0,0.0,0.0,0.0,2002
717,Unknown,VMC,0.0,0.0,0.0,0.0,2002
RV-4,Takeoff,IMC,2.0,0.0,0.0,0.0,2002
M-4-210,Landing,VMC,0.0,0.0,0.0,1.0,2002
172P,Cruise,IMC,2.0,0.0,0.0,0.0,2002
TR182,Cruise,VMC,0.0,0.0,0.0,4.0,2002
Team 1400Z,Cruise,VMC,0.0,1.0,0.0,0.0,2002
PA-34-220T,Approach,VMC,0.0,0.0,0.0,2.0,2002
172N,Landing,VMC,0.0,0.0,0.0,1.0,2002
PA-32RT-300,Approach,VMC,2.0,0.0,0.0,0.0,2002
PA-28-180,Cruise,VMC,0.0,0.0,1.0,3.0,2002
Concorde,Unknown,VMC,0.0,0.0,0.0,106.0,2002
PA-34-220T,Cruise,VMC,5.0,0.0,0.0,0.0,2002
150L,Cruise,VMC,0.0,0.0,0.0,1.0,2002
170B,Landing,VMC,0.0,0.0,0.0,2.0,2002
Kolb Mark III,Takeoff,VMC,0.0,0.0,0.0,2.0,2002
PA-22-150,Landing,VMC,0.0,0.0,2.0,0.0,2002
A320-211,Takeoff,VMC,0.0,1.0,0.0,42.0,2002
OH-6A,Cruise,VMC,0.0,0.0,0.0,2.0,2002
L-23,Landing,VMC,0.0,0.0,0.0,1.0,2002
172N,Maneuvering,VMC,1.0,0.0,0.0,0.0,2002
PA-46-350P,Landing,IMC,0.0,0.0,0.0,6.0,2002
Seawind,Climb,VMC,2.0,0.0,0.0,0.0,2002
O-70,Approach,VMC,0.0,2.0,1.0,0.0,2002
182J,Takeoff,VMC,0.0,3.0,0.0,0.0,2002
47G-3B-1,Maneuvering,VMC,0.0,0.0,0.0,1.0,2002
PA-34-200,Landing,VMC,0.0,0.0,0.0,1.0,2002
PA-18-150,Landing,VMC,0.0,0.0,0.0,1.0,2002
J5A,Takeoff,VMC,0.0,0.0,0.0,1.0,2002
LA-4-200,Takeoff,VMC,0.0,0.0,0.0,2.0,2002
150H,Takeoff,VMC,0.0,0.0,0.0,2.0,2002
AS-350BA,Approach,VMC,0.0,0.0,1.0,0.0,2002
35-B33,Climb,VMC,0.0,0.0,2.0,0.0,2002
172M,Cruise,VMC,0.0,0.0,0.0,1.0,2002
PA-28-161,Taxi,VMC,0.0,0.0,0.0,1.0,2002
36A,Takeoff,VMC,0.0,0.0,0.0,4.0,2002
421C,Descent,VMC,1.0,0.0,0.0,0.0,2002
8A,Cruise,VMC,0.0,1.0,0.0,0.0,2002
415-CD,Cruise,VMC,0.0,0.0,0.0,1.0,2002
PA-28-140,Maneuvering,VMC,1.0,0.0,0.0,0.0,2002
172H,Maneuvering,VMC,0.0,0.0,2.0,0.0,2002
210M,Landing,VMC,0.0,0.0,0.0,1.0,2002
172N,Landing,VMC,0.0,0.0,0.0,1.0,2002
210L,Takeoff,IMC,1.0,0.0,0.0,0.0,2002
402C,Maneuvering,IMC,1.0,0.0,0.0,0.0,2002
172M,Approach,VMC,0.0,0.0,0.0,1.0,2002
192,Cruise,VMC,2.0,0.0,0.0,0.0,2002
114,Cruise,VMC,1.0,1.0,0.0,0.0,2002
OH-6,Cruise,VMC,0.0,0.0,0.0,1.0,2002
172N,Landing,VMC,0.0,0.0,0.0,1.0,2002
58,Go-around,IMC,2.0,0.0,0.0,0.0,2002
150L,Takeoff,VMC,2.0,0.0,0.0,0.0,2002
U206G,Unknown,VMC,4.0,0.0,0.0,0.0,2002
PA38,Landing,VMC,0.0,0.0,0.0,1.0,2002
PA-28-161,Takeoff,VMC,0.0,0.0,2.0,0.0,2002
767-219ER,Unknown,VMC,0.0,0.0,0.0,0.0,2002
T210L,Landing,VMC,0.0,0.0,0.0,2.0,2002
1900C,Approach,VMC,3.0,0.0,0.0,0.0,2002
M20K,Takeoff,VMC,0.0,0.0,0.0,2.0,2002
T-28B,Maneuvering,VMC,2.0,0.0,0.0,0.0,2002
R-22,Landing,VMC,0.0,1.0,0.0,1.0,2002
PA-12,Maneuvering,VMC,0.0,0.0,0.0,2.0,2002
206H,Unknown,VMC,0.0,0.0,4.0,0.0,2002
108-1,Maneuvering,VMC,1.0,0.0,0.0,0.0,2002
PA-601P,Takeoff,IMC,0.0,0.0,0.0,1.0,2002
PA-24-180,Landing,VMC,0.0,0.0,0.0,1.0,2002
PA28-181,Takeoff,IMC,0.0,0.0,1.0,0.0,2002
PA-23-250,Unknown,IMC,2.0,0.0,0.0,0.0,2002
180,Unknown,VMC,1.0,0.0,0.0,0.0,2002
206,Unknown,VMC,2.0,0.0,0.0,0.0,2002
200,Climb,VMC,0.0,0.0,0.0,3.0,2002
PA-28-150,Descent,VMC,0.0,0.0,1.0,1.0,2002
PA-28-235,Cruise,VMC,0.0,0.0,0.0,4.0,2002
PA-34-200T,Unknown,VMC,1.0,0.0,0.0,0.0,2002
A36,Cruise,VMC,0.0,0.0,0.0,4.0,2002
PA-30,Takeoff,VMC,0.0,1.0,0.0,1.0,2002
DH-125,Landing,IMC,0.0,0.0,0.0,3.0,2002
A150M,Landing,VMC,0.0,0.0,0.0,1.0,2002
EXEC 162F,Landing,VMC,0.0,0.0,0.0,2.0,2002
PA-24-250,Approach,IMC,2.0,0.0,0.0,0.0,2002
EC-135 P1,Cruise,VMC,0.0,0.0,0.0,4.0,2002
330-301,Approach,IMC,0.0,0.0,0.0,115.0,2002
PA-31-325,Unknown,VMC,3.0,0.0,0.0,0.0,2002
208B,Approach,IMC,1.0,0.0,0.0,0.0,2002
206B,Approach,VMC,0.0,0.0,0.0,3.0,2002
269C,Maneuvering,VMC,0.0,0.0,0.0,2.0,2002
SA-226T,Landing,VMC,0.0,0.0,0.0,4.0,2002
PA-18-105,Takeoff,VMC,0.0,0.0,0.0,1.0,2002
A-1B,Maneuvering,VMC,1.0,1.0,0.0,0.0,2002
PA-46-500TP,Unknown,IMC,3.0,0.0,0.0,0.0,2002
195,Landing,VMC,0.0,0.0,0.0,3.0,2002
PA-28-180,Descent,VMC,0.0,0.0,2.0,2.0,2002
IV,Unknown,VMC,2.0,0.0,0.0,0.0,2002
PA-32R-301T,Cruise,VMC,2.0,0.0,0.0,0.0,2002
Team Rocket F-1,Cruise,VMC,1.0,0.0,0.0,0.0,2002
PA-32-300,Cruise,VMC,4.0,0.0,1.0,0.0,2002
172N,Landing,VMC,0.0,0.0,0.0,1.0,2002
BE-35,Go-around,VMC,0.0,0.0,0.0,3.0,2002
170A,Landing,VMC,0.0,0.0,0.0,1.0,2002
369E,Cruise,VMC,0.0,0.0,0.0,2.0,2002
PA-28-235,Cruise,VMC,0.0,0.0,0.0,2.0,2002
Ultra pup,Descent,VMC,0.0,0.0,0.0,1.0,2002
AA-1,Approach,VMC,0.0,1.0,1.0,0.0,2002
R22 Beta,Cruise,VMC,2.0,0.0,0.0,0.0,2002
369D,Descent,VMC,0.0,0.0,0.0,2.0,2002
172S,Landing,VMC,0.0,0.0,0.0,1.0,2002
BE-58,Descent,IMC,1.0,0.0,0.0,0.0,2002
208B,Approach,IMC,1.0,0.0,0.0,0.0,2002
F-35,Descent,VMC,0.0,0.0,0.0,2.0,2002
421,Cruise,VMC,2.0,0.0,0.0,0.0,2002
404,Unknown,VMC,0.0,0.0,0.0,1.0,2002
BK 117 A-4,Standing,VMC,0.0,0.0,0.0,3.0,2002
172S,Landing,VMC,0.0,0.0,0.0,1.0,2002
PA-30,Standing,VMC,0.0,0.0,0.0,1.0,2002
PA-28-181,Descent,VMC,0.0,1.0,1.0,0.0,2002
208B,Unknown,IMC,0.0,0.0,0.0,14.0,2002
182S,Taxi,VMC,0.0,0.0,2.0,1.0,2002
Lancair 235,Landing,VMC,1.0,0.0,0.0,0.0,2002
F33A,Landing,VMC,0.0,0.0,0.0,3.0,2002
DHC-3,Climb,VMC,0.0,0.0,0.0,2.0,2002
Glasair,Maneuvering,VMC,2.0,0.0,0.0,0.0,2002
F-35,Takeoff,VMC,1.0,0.0,0.0,0.0,2002
PA-32-300,Climb,VMC,1.0,3.0,0.0,0.0,2002
PA-18A 150,Landing,VMC,0.0,0.0,0.0,1.0,2002
LANCAIR 320,Climb,VMC,0.0,0.0,0.0,1.0,2002
T207,Climb,VMC,0.0,0.0,0.0,1.0,2002
TB 9,Takeoff,VMC,0.0,0.0,0.0,1.0,2002
206-L4,Maneuvering,VMC,0.0,0.0,0.0,1.0,2002
172F,Approach,VMC,0.0,0.0,0.0,3.0,2002
PA-28-180,Cruise,VMC,0.0,2.0,0.0,0.0,2002
RV6A,Cruise,VMC,0.0,0.0,1.0,0.0,2003
Thorp T-18,Takeoff,VMC,0.0,1.0,1.0,0.0,2003
95,Takeoff,VMC,1.0,3.0,0.0,0.0,2003
CH2000,Cruise,VMC,0.0,2.0,0.0,0.0,2003
